,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,lofd_o_delta%,hofd_lofd_delta%
113,312,2010-02-03 14:30:00,4.168292,4.227458,4.122458999999999,4.161625,3.719987040000003,4.304271734098564,4.370936359999998,62983144,71109752.0,44.14950203576446,0.8857173907736312,0.18815875682884195,4.224958,-0.056665999999999876,-1.3412204334338915,-0.15994560841707348,1.419430308625218,-1.0995630824328262,2.546999254571148
116,315,2010-02-08 14:30:00,3.793295,3.864128,3.703296,3.707464,3.7422784800000017,4.162137463144592,4.358493149999998,94868964,82401995.8,34.01770463206334,1.151294493282164,0.22208636616216776,3.793295,0.0,0.0,-2.262703006225464,1.8673211548271336,-2.372581093745679,4.3429420710631845
118,317,2010-02-10 14:30:00,3.833295,3.892453,3.729129,3.824128,3.7568324900000016,4.102902884796365,4.346809909999998,90808052,88420424.0,38.7512807311161,1.027003127693665,0.21028526846621948,3.848294,-0.014999000000000429,-0.3897571235461851,-0.23914152185000492,1.5432676065891104,-2.7174010870543537,4.379682226064055
119,318,2010-02-11 14:30:00,3.823295,3.965794,3.748379,3.95146,3.7649190800000016,4.088479752910997,4.342165779999998,85056800,89757007.6,43.45309223495225,0.9476340875695594,0.21206770134966452,3.824128,-0.0008330000000000838,-0.021782743673854108,3.352213208763647,3.7271254245356413,-1.9594616685346011,5.80024058399644
123,322,2010-02-18 14:30:00,4.1807919999999985,4.302457,4.179124,4.278291,3.7965921000000016,4.110833471429672,4.334420849999999,51902628,92036733.2,54.40782426424473,0.5639338359306303,0.15921991331766744,4.202124,-0.021332000000000132,-0.5076480370403189,2.332070095809641,2.9100945466792405,-0.039896746836452786,2.951168713826165
124,323,2010-02-19 14:30:00,4.244123,4.354123,4.216625,4.311624,3.804429530000002,4.12995637891256,4.336329169999999,51320672,87716144.0,55.45332704360914,0.5850766992219814,0.15378943498825076,4.278291,-0.0341680000000002,-0.7986366518780559,1.5904581464769054,2.591819322861291,-0.6479077067276435,3.260854356268361
126,325,2010-02-23 14:30:00,4.270791,4.30579,4.11246,4.148292,3.8185368850000017,4.14671018319146,4.33442917,72424804,83090422.4,49.07853879102512,0.8716384140081107,0.15093293218089104,4.3041230000000015,-0.03333200000000058,-0.7744202477485095,-2.8682976994191556,0.8194969035010142,-3.7072991864973126,4.701079159432566
136,335,2010-03-09 14:30:00,4.627454,4.765786,4.62662,4.69912,3.9061510050000026,4.3694407278980645,4.35601644,43672012,60782091.4,67.98257762653199,0.7185013051393622,0.1247765907720084,4.673287,-0.04583300000000001,-0.98074438826462,1.548713396178537,2.9893760154071787,-0.01802286959525094,3.007941002286774
138,337,2010-03-11 14:30:00,4.739953,4.827451,4.689953,4.818286,3.927367460000002,4.446268233041273,4.35758309,38848780,53602697.8,71.47554988988132,0.7247541932488332,0.12409245730925456,4.764952,-0.024999000000000212,-0.5246432702784879,1.6526113233612183,1.8459676709874566,-1.0548627802849484,2.9317564589666443
140,339,2010-03-15 13:30:00,4.804118,4.8399519999999985,4.7216190000000005,4.821618,3.948938495000002,4.515155945868254,4.36026722,45922116,49618299.2,71.12130536114945,0.9255076602867516,0.11938513223645582,4.830868,-0.026749999999999833,-0.5537307167159159,0.3642708193262545,0.7459017451277964,-1.7172559042055053,2.5061954384713805
145,344,2010-03-22 13:30:00,4.853286,5.055783,4.845784,5.02495,3.9983838350000025,4.703474613496687,4.382392019999998,43570584,46776692.2,71.45874653884381,0.9314592792005928,0.15411978626314315,4.930784,-0.07749800000000029,-1.571717601095491,3.5370674631579475,4.172368988763493,-0.1545756833617404,4.333643431073276
146,345,2010-03-23 13:30:00,4.937451,5.0291169999999985,4.88745,5.019951,4.0081962450000015,4.733615221735098,4.389658629999999,47030676,45506985.8,71.07829491136114,1.0334825559903378,0.15100658969735736,5.02495,-0.08749899999999933,-1.7412909581189728,1.6709026580719397,1.8565450067250946,-1.0126885309849143,2.898587197822959
147,346,2010-03-24 13:30:00,4.959116000000002,5.008359,4.918284,4.9407830000000015,4.0177669750000025,4.753345486331756,4.3987335399999985,52600316,45502635.8,65.1615021276528,1.1559839353306212,0.138671692273018,5.019951,-0.060834999999999084,-1.2118644185968963,-0.36968282250304585,0.9929793939080657,-0.8233725526888611,1.8314314504815032
152,351,2010-03-31 13:30:00,4.951617,5.03245,4.914543,4.95995,4.0656814850000025,4.835670539383472,4.443338099999999,41521408,43820755.4,63.01156090734126,0.9475283486327121,0.1337158429905696,5.010783,-0.059166000000000274,-1.1807735437754991,0.16828846011313817,1.6324566298241596,-0.7487251134326344,2.3991447424511243
155,354,2010-04-06 13:30:00,5.161615,5.2724470000000005,5.142489,5.244948,4.101493640000003,4.924604037753076,4.4657379,35388676,44255824.0,73.53352711644935,0.7996388452737881,0.1377675431366463,5.204949,-0.04333399999999976,-0.8325537867902214,1.6144753144122461,2.1472349255029726,-0.3705429405331466,2.527142012360167
