,date,open,high,low,close,vwap,volume,volume_ma,rsi,date2,time_of_day
4686,2011-08-29 18:30:00,4.833285,4.85828475,4.81828515,4.85420146,4.762618456238039,3474034,6153946.9,72.98292636834273,2011-08-29,13.5
4687,2011-08-29 19:30:00,4.85411813,4.8832845,4.84745153,4.87411793,4.778427130058696,4247707,5785575.4,73.66965680502486,2011-08-29,14.5
4723,2011-09-07 13:30:00,4.54578788,4.59912068,4.5032883,4.55829608,4.5535683533333335,8914628,6092821.1,51.70362138695845,2011-09-07,8.5
4724,2011-09-07 14:30:00,4.55828775,4.63078703,4.54578788,4.62162045,4.572232136096713,6124521,6200272.4,54.316559891802385,2011-09-07,9.5
4725,2011-09-07 15:30:00,4.6266204,4.63162035,4.60412063,4.62412043,4.579001854502697,2486104,6141975.75,54.421399634374545,2011-09-07,10.5
4726,2011-09-07 16:30:00,4.62495375,4.6766199,4.62495375,4.66911998,4.5891047525643165,2611708,5868139.45,56.362651215309505,2011-09-07,11.5
4727,2011-09-07 17:30:00,4.6699532999999995,4.703286299999999,4.64162025,4.703286299999999,4.601444483505518,3056901,5762614.3,57.831194832849654,2011-09-07,12.5
4728,2011-09-07 18:30:00,4.7066196,4.72911938,4.68746146,4.69828635,4.614308587099291,3291535,5665815.9,57.526092513424175,2011-09-07,13.5
4729,2011-09-07 19:30:00,4.69911968,4.72828605,4.66412003,4.72411943,4.626189588770734,3967188,5329452.05,58.737347823238494,2011-09-07,14.5
4821,2011-09-27 13:30:00,4.466622,4.54162125,4.44245558,4.51162155,4.498566126666667,13445814,7623150.2,66.94298168785677,2011-09-27,8.5
4822,2011-09-27 14:30:00,4.51078823,4.56245438,4.48335517,4.523288099999999,4.507811813077131,8167527,7686562.25,67.31795443245962,2011-09-27,9.5
4823,2011-09-27 15:30:00,4.52745473,4.56745433,4.50162165,4.5432879,4.513280500642421,4889385,7619231.6,67.98832102855445,2011-09-27,10.5
4824,2011-09-27 16:30:00,4.54245458,4.55412113,4.5032883,4.54578788,4.516748613640092,5207473,7369392.3,68.07646845326678,2011-09-27,11.5
4825,2011-09-27 17:30:00,4.54912118,4.59828735,4.52078813,4.56578768,4.523936088430057,6047936,7221430.35,68.81624970634012,2011-09-27,12.5
4826,2011-09-27 18:30:00,4.56745433,4.58495415,4.40162265,4.42078913,4.512234543035014,10248254,7356548.0,58.27283622396504,2011-09-27,13.5
4827,2011-09-27 19:30:00,4.41578918,4.44828885,4.29829035,4.36912298,4.492454834416219,7876566,7245353.7,55.037101453983546,2011-09-27,14.5
4835,2011-09-29 13:30:00,4.30245698,4.35245648,4.2032913,4.20912457,4.25495745,7512765,6434421.85,46.78751331560361,2011-09-29,8.5
4836,2011-09-29 14:30:00,4.2032913,4.21372453,4.1232921000000005,4.19925801,4.221012584883853,6035347,6462202.05,46.245319045782566,2011-09-29,9.5
