,Unnamed: 0,date,rsi,relative_vol,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,y_rsi,y_rel_vol,y_o_c_delta%,y_hofd_o_delta%,tm_rsi,tm_rel_vol,tm_o_c_delta%,tm_hofd_o_delta%
2659,2858,2020-03-17 13:30:00,31.761266772310435,2.296996611351924,5.375388716126153,0.10413153456998324,0.12731871838111297,29.96646797523711,2.643131865861756,0.03731343283582076,0.10494402985074626,28.03234200006966,2.629617209789508,-0.025541125541125535,0.2480519480519479
2662,2861,2020-03-20 13:30:00,28.49863715128132,1.6245918063269162,4.450499545867396,-0.168695652173913,0.01869565217391303,27.758090067400843,2.162970659341154,-0.07631578947368417,0.015789473684210565,29.86524146771605,2.223894196286271,0.01897269782508099,0.10134197130957896
2664,2863,2020-03-24 13:30:00,33.53905027828748,1.7659053484482319,16.695156695156697,0.09521484374999996,0.10302734374999997,34.510513786620706,1.792080526992889,0.020166593599298593,0.13853572994300747,27.758090067400843,2.162970659341154,-0.07631578947368417,0.015789473684210565
2666,2865,2020-03-26 13:30:00,39.22556704285185,1.4750627750976832,3.6850021486893065,0.13604807791938653,0.1544213034918661,37.46443363899483,1.240957448790878,-0.0004014452027298901,0.09514251304696913,34.510513786620706,1.792080526992889,0.020166593599298593,0.13853572994300747
2673,2872,2020-04-06 13:30:00,43.80075770811141,0.9430039763677456,11.683254002596275,0.07671445176288262,0.1162340178225494,43.79095672986349,1.1200771831519598,-0.09541160725624467,0.009765516882068144,37.74574279580296,0.9992017461881608,-0.030413385413826013,0.030841329311220068
2674,2873,2020-04-07 13:30:00,43.79095672986349,1.1200771831519598,10.50773659589781,-0.09541160725624467,0.009765516882068144,47.37946676876553,0.8844979431863669,0.06655052264808363,0.08188153310104535,43.80075770811141,0.9430039763677456,0.07671445176288262,0.1162340178225494
2676,2875,2020-04-09 13:30:00,49.07443908171569,1.015896920363141,3.985625612544916,0.004712535344015147,0.037071944706251955,47.992909102569214,0.7931947190007158,-0.01862373737373737,0.0028409090909090867,47.37946676876553,0.8844979431863669,0.06655052264808363,0.08188153310104535
2678,2877,2020-04-14 13:30:00,51.59436437270721,0.7013359589086232,5.971695078803465,0.028330692696666913,0.03773985783055008,48.75345218113573,0.6481588801925199,0.0009472687085569177,0.02210293653299639,47.992909102569214,0.7931947190007158,-0.01862373737373737,0.0028409090909090867
2681,2880,2020-04-17 13:30:00,52.925789196793716,0.7670273368252424,6.774394033561218,0.011641443538998795,0.01804423748544812,50.274305266070655,0.704837838079581,-0.010513667768098572,0.04025232802643447,49.41392650940129,0.8201220615850063,6.526218305105859e-05,0.009077658890107738
2684,2883,2020-04-22 13:30:00,49.10772266933992,0.4902847921365314,5.7114228456913745,0.008214849921011107,0.027172195892575024,49.01993311904821,0.8371990102550052,-0.016146320819703033,0.036675964624513877,46.16846853546898,0.856050001938603,-0.04038769106509267,0.01538136095717644
2688,2887,2020-04-28 13:30:00,52.56347223588517,0.9232699351859546,4.183496826312761,-0.052893935198006,0.0033204098587649193,56.68876081845816,0.7850675920914043,0.016275862068965613,0.033103448275862146,53.386191923616714,0.6195294284931232,0.0200117716303708,0.032077692760447425
2689,2888,2020-04-29 13:30:00,56.68876081845816,0.7850675920914043,5.994152046783618,0.016275862068965613,0.033103448275862146,54.57834020064624,0.7844399386720401,-0.01324868893182437,0.007176373171405055,52.56347223588517,0.9232699351859546,-0.052893935198006,0.0033204098587649193
2695,2894,2020-05-07 13:30:00,52.70392054436508,0.5629560107778461,3.6760310818888127,-0.0005765350245026239,0.020178725857595933,55.958477606825205,0.5056189557313091,0.013649025069637938,0.01671309192200561,50.305007900397605,0.6393544766159164,-0.038781959207124427,0.004309106578569336
2702,2901,2020-05-18 13:30:00,57.097124867741286,0.8222827892971303,7.273262661955237,0.018116936590722034,0.03541037606368375,54.33485371979623,0.8313910048019633,-0.024932249322493272,0.017615176151761478,50.50919445485719,0.9597045255695312,0.04012251148545183,0.041041347626340076
2704,2903,2020-05-20 13:30:00,57.98329601239189,0.8129331249666186,3.918843802112295,0.011767852366942971,0.01992511366675575,55.6785987456364,0.8318086011762751,-0.020938245428041326,0.009011396766498899,54.33485371979623,0.8313910048019633,-0.024932249322493272,0.017615176151761478
2707,2906,2020-05-26 13:30:00,59.230708588415965,0.6745041792726894,6.7760150578112475,-0.026945353815159917,0.0012591286829513261,62.35942350752928,0.9267384056658704,0.012575452716297788,0.01358148893360159,56.205183623444974,0.6241293271816437,0.008405639913231972,0.010574837310195243
2715,2914,2020-06-05 13:30:00,73.23561117125155,1.1412109912075508,5.779415150817402,0.01806704397039629,0.03635176316935137,75.5626342309505,0.6856494371914084,0.02711864406779648,0.028997881355932138,67.64820329531716,0.8440836436752385,0.0020766035994461535,0.01868943239501604
2720,2919,2020-06-12 13:30:00,49.541183819008246,1.633382435769705,7.468620331950206,-0.037642465353439535,0.007845096151293779,51.86650811943427,1.445692871047746,0.09537803900614482,0.10820197702377764,46.724521763807964,1.8528605457647933,-0.10885139819736539,0.0069332100762652445
2722,2921,2020-06-16 13:30:00,56.42349265876174,1.3504531212803503,8.26829268292683,-0.02320342419463846,0.0013516557783285036,55.02105428654915,0.7854730707331918,-0.024406934306569348,0.0028512773722627737,51.86650811943427,1.445692871047746,0.09537803900614482,0.10820197702377764
2735,2934,2020-07-06 13:30:00,59.39724428384707,0.6113827057144261,4.115606936416188,0.0046635576282478535,0.009105041083721887,55.54837016080757,0.6325420269306229,-0.01570694727770932,0.02042419305249787,55.24489082752863,0.8063049620391082,-0.01971894832275606,0.013372620126926643
