,Unnamed: 0,date,open,high,low,close,200_ma,20_ema,100_ma,volume,volume_ma,rsi,relative_vol,atr,prev_close,$_change,ov_ni_%_change,day_o_c_delta%,hofd_o_delta%,hofd_lofd_delta%
695,894,2012-05-24 13:30:00,5.9357739999999986,5.960774,5.765776,5.916608,5.551651329999994,6.212830041965426,6.435772669999999,14044628,11516856.0,37.433486382798904,1.2194845537705776,0.2626292103521784,5.884941,0.05083299999999902,0.8637809622900046,-0.32288965179601625,0.42117506495363954,3.381990559466757
701,900,2012-06-04 13:30:00,5.337447,5.387445,5.166615,5.292446,5.585046834999996,5.954864337663195,6.45515581,16406156,13159436.8,28.72723929384821,1.2467217442010892,0.28534665755535593,5.322447,0.014999999999999682,0.28182525819420423,-0.8431184422065469,0.9367399807435941,4.274171773975793
707,906,2012-06-12 13:30:00,5.734943,5.884941,5.651611,5.879108,5.632387304999997,5.8682146635008525,6.462845959999999,12624352,13731773.2,47.867079898473214,0.919353372367088,0.2900910691791637,5.68911,0.0458330000000009,0.8056268906736009,2.5138000499743276,2.6155098664450556,4.128557326397738
709,908,2012-06-14 13:30:00,5.7916089999999985,5.991606,5.736609,5.925774,5.644024684999998,5.863576987582331,6.46283762,12552208,13274352.6,49.45103524087454,0.9455985070036486,0.27036247641327976,5.750775,0.04083399999999937,0.7100608178897518,2.3165410510274644,3.4532199946509095,4.4450824520200065
710,909,2012-06-15 13:30:00,6.001607,6.114939,5.96494,6.087439,5.6499329599999975,5.8848971792411575,6.46532092,11588152,12951670.4,53.22381355972597,0.8947225834283119,0.25006310730995984,5.925774,0.07583300000000026,1.2797146836852074,1.4301502914136148,1.8883609006720994,2.5146774317930998
712,911,2012-06-19 13:30:00,6.256604,6.407286,6.224938,6.332438,5.663287004999997,5.950860802054553,6.47128752,9780156,12875820.6,58.5525587458924,0.7595753547544768,0.2416729353618525,6.155772,0.10083200000000048,1.6380073855886876,1.2120632854500542,2.4083672228576356,2.929314316062267
714,913,2012-06-21 13:30:00,6.324103,6.339104,5.864108,5.882441,5.680268694999998,5.974829350434677,6.475767879999999,11837240,12741688.4,46.97320707445754,0.9290165972038682,0.297161401141042,6.3046440000000015,0.01945899999999945,0.308645500047258,-6.983788847208845,0.23720360025761472,8.100055456004561
715,914,2012-06-22 13:30:00,5.96744,6.036606,5.894108,5.996608,5.6867103049999965,5.976903507536137,6.4775012100000025,7998052,12439359.6,49.70292038597982,0.6429633242534447,0.2614123008557815,5.882441,0.08499899999999982,1.4449613689283043,0.4887858110010374,1.1590564798305483,2.4176346955298373
717,916,2012-06-26 13:30:00,5.753275,5.854108,5.662443,5.802442,5.7003435049999975,5.936997528844775,6.47228459,11023152,12337311.2,45.942416292461736,0.8934809069256517,0.2606602942313772,5.70661,0.04666500000000085,0.8177359237796318,0.8545915152673866,1.7526191603912507,3.3848464346572746
718,917,2012-06-27 13:30:00,5.862442,5.9874410000000005,5.840775,5.957441,5.708680924999998,5.938944526097653,6.4689429600000015,7185776,12107688.2,49.634011245147924,0.5934886892776112,0.2417449706735328,5.802442,0.05999999999999961,1.0340473890131021,1.620468057509149,2.1322001991661623,2.511070876724418
721,920,2012-07-02 13:30:00,6.404103,6.422437,6.266604,6.396602,5.732648174999996,6.015338656786934,6.46561796,5299240,10581316.6,58.660547300532464,0.5008110238379977,0.2603576751278968,6.347437,0.056665999999999876,0.8927382816087798,-0.11712803494885113,0.28628521433837484,2.486721675727401
722,921,2012-07-03 13:30:00,6.405769,6.538685,6.382436,6.528268,5.740743924999998,6.0641890704262735,6.466859610000001,4031860,10190891.0,61.044889657780374,0.3956337085736664,0.2343305063459225,6.396602,0.009167000000000591,0.14331046389943586,1.9123230950101302,2.074942134191848,2.4481091545610463
726,925,2012-07-10 13:30:00,6.327436,6.35827,6.008274,6.072439,5.777462354999996,6.121998863842857,6.463784630000003,8063504,8795376.4,49.118377411074675,0.9167889619823432,0.2382896484922646,6.237438,0.08999799999999958,1.4428680493497423,-4.030021006929181,0.4873063907718778,5.825233669436513
727,926,2012-07-11 13:30:00,6.0799400000000015,6.129105,5.968274,6.073273,5.788058084999998,6.117358305381633,6.459476340000003,11404792,8734398.4,49.14003402133825,1.3057329741221788,0.21892498636919844,6.072439,0.007501000000000423,0.1235253248324178,-0.10965568739166977,0.8086428484491386,2.694765689376861
729,928,2012-07-13 13:30:00,6.029107,6.299938,6.02494,6.275771,5.8064099849999975,6.121645361094714,6.451297250000002,7550436,8476256.0,54.37448527596838,0.8907748892907434,0.24012361733267426,5.9920230000000005,0.03708399999999923,0.6188894802306204,4.091219479103622,4.492058276623723,4.564327611561278
731,930,2012-07-17 13:30:00,6.313269,6.402436,6.116605,6.36327,5.8281180999999975,6.1547066062476015,6.446755630000002,9842304,8024845.8,56.35221120572735,1.2264788938374367,0.2304333472496293,6.238271,0.0749979999999999,1.2022241419136792,0.7919985668280564,1.4123744766776098,4.673033488348519
733,932,2012-07-19 13:30:00,6.549935,6.619934,6.484102,6.560768,5.856563644999999,6.2234138023931616,6.444805640000004,8717592,7536759.0,60.7796081815355,1.156676497152158,0.20685757032791646,6.503267,0.04666799999999949,0.7176085496720261,0.16539095426138978,1.0686976282970768,2.094846749788941
736,935,2012-07-24 13:30:00,6.200771,6.203271,5.900774,6.031606,5.889961224999999,6.213820129210098,6.430793280000002,10584152,7397278.2,45.658507585302594,1.4308170808014222,0.2602741156070897,6.1866059999999985,0.014165000000000203,0.22896237452328802,-2.7281284859576265,0.04031756696063104,5.126395283059472
737,936,2012-07-25 13:30:00,6.066606,6.106606,5.929941,6.020773,5.899627794999998,6.195434688332944,6.4244600000000025,8102780,7251259.6,45.38972697000239,1.117430687490488,0.23937183670531725,6.031606,0.035000000000000135,0.5802766294748056,-0.7554965659546707,0.6593472528131881,2.979203334400795
739,938,2012-07-27 13:30:00,6.421602,6.7257669999999985,6.391603,6.6741,5.9194525849999975,6.251390803828103,6.426168310000004,11626940,7496655.0,60.94983454497105,1.5509503905408482,0.30105965814674096,6.315769,0.10583299999999962,1.675694598709985,3.932009489220916,4.736590651367034,5.228172025077256
742,941,2012-08-01 13:30:00,6.670767,6.673267,6.489143,6.522435,5.947489804999997,6.3351355423233935,6.426859990000002,22868580,8561768.8,56.43399591676423,2.6710111583484943,0.22378118390565624,6.545768,0.12499899999999985,1.9096154950801776,-2.223612367213544,0.037476949802030125,2.837416281317883
745,944,2012-08-06 13:30:00,6.809099000000002,6.874099,6.787432000000001,6.794099,5.976752049999997,6.4183690490007725,6.419126830000002,5475256,9287796.6,61.294488732146476,0.5895107565124758,0.2427381869601988,6.753265,0.055834000000000834,0.8267704584375236,-0.22029346320271526,0.9546050072116532,1.2768746707149239
746,945,2012-08-07 13:30:00,6.879931,6.981555,6.875764,6.890764,5.987539439999997,6.463359044334033,6.416885180000004,6435820,9206412.4,63.16790880395956,0.6990584084632142,0.2289176402201491,6.794099,0.08583199999999991,1.2633316058538433,0.1574579745058471,1.4771078372733704,1.5386072005961804
751,950,2012-08-14 13:30:00,7.0374300000000005,7.050763000000001,6.902431,6.964930000000002,6.032438999999997,6.654659823173435,6.4077102900000025,8352944,8880693.2,64.49991941027392,0.9405734228044272,0.15699656794286732,6.955764,0.08166600000000024,1.174076636297612,-1.0302056290435413,0.18945836761431745,2.148982003586864
753,952,2012-08-16 13:30:00,7.0140970000000005,7.166595,6.9665979999999985,7.139928,6.049326319999998,6.729118989037664,6.4052769600000055,9019096,8907154.0,68.80278531569628,1.0125676506771972,0.15565338196786282,6.982429,0.031668000000000696,0.4535384462914081,1.7939729091285705,2.174164400634887,2.8707986308382023
754,953,2012-08-17 13:30:00,7.177428,7.184928,7.120761999999999,7.165428,6.061407859999997,6.7706722281769345,6.404315300000008,7824160,8916850.0,69.38920422251921,0.8774578466610967,0.13278153647589716,7.139928,0.03749999999999965,0.525215380323158,-0.16719080985555781,0.10449425615973136,0.9011114259962778
756,955,2012-08-21 13:30:00,7.22076,7.301926,7.059097,7.104512,6.081676404999996,6.83679770605867,6.404352810000006,8671764,8720849.0,65.85269829336903,0.9943715342393844,0.15258423926769205,7.169095,0.05166500000000074,0.7206627893757963,-1.6099136378996195,1.124064502905506,3.43994423082725
760,959,2012-08-27 13:30:00,7.120761999999999,7.144095,7.036596,7.0649289999999985,6.118988114999996,6.9050495635731615,6.397327920000008,7937560,8760088.6,61.342128646045296,0.9061049907645912,0.1615963882057932,7.061597,0.05916499999999925,0.8378416383715929,-0.784087433339307,0.32767560550403085,1.5277131158304353
762,961,2012-08-29 13:30:00,7.062428999999999,7.117429,7.006597,7.062428999999999,6.138579584999998,6.9325221098637435,6.400194570000008,6270120,7961883.2,60.9843190203822,0.7875172044724293,0.14173090586575848,7.049930000000002,0.012498999999998263,0.1772925404932852,0.0,0.7787688909863818,1.5818235300246235
764,963,2012-08-31 13:30:00,7.025763,7.1007630000000015,6.886597999999998,6.983264,6.1565669049999965,6.9350489833578495,6.408832490000006,9834768,7726622.0,55.750811726068896,1.272841870613057,0.17107688454948902,6.905764,0.11999900000000085,1.7376643626976085,-0.6049022718244308,1.0674997149775913,3.1098809600909343
765,964,2012-09-04 13:30:00,6.988263000000001,7.04743,6.849098,6.9699300000000015,6.1667209699999965,6.938370984942815,6.409849140000008,8530332,7879375.8,55.043453368849114,1.0826151990364516,0.17789066341211693,6.983264,0.004999000000000642,0.07158543626591579,-0.2623398690060644,0.8466624681984567,2.8957389717595023
766,965,2012-09-05 13:30:00,6.994096000000001,7.041596000000001,6.926597,6.961596000000001,6.178062514999998,6.940582891138737,6.413174100000008,7149128,7915041.2,54.5773540167202,0.9032332011108168,0.16216774755908772,6.9699300000000015,0.02416600000000013,0.34671797277734684,-0.4646776366809913,0.6791442382260741,1.660252502058384
767,966,2012-09-06 13:30:00,7.086595,7.389092999999999,7.086595,7.382426,6.1916123749999965,6.982663187220763,6.420982350000008,9960384,8004836.2,68.89882217531107,1.2442957920862892,0.2285000606693157,6.961596000000001,0.12499899999999894,1.7955509052809004,4.174515405494454,4.268594437808271,4.268594437808271
768,967,2012-09-07 13:30:00,7.424092,7.478258999999999,7.405759,7.478258999999999,6.206916394999998,7.029862788437833,6.426782300000006,6431236,8015042.4,71.13105314118604,0.802395755261382,0.195333295501987,7.382426,0.0416660000000002,0.5643944145190241,0.729611109345072,0.729611109345072,0.9789678546115111
770,969,2012-09-11 13:30:00,7.366592,7.479092,7.3574259999999985,7.41326,6.238599419999996,7.093956037700813,6.438915510000006,5783060,7811787.8,66.14673737200967,0.7402991668565293,0.17013466621986756,7.349927,0.016664999999999708,0.2267369458227233,0.6335086835269331,1.527164800222407,1.6536489799557779
771,970,2012-09-12 13:30:00,7.481592,7.507425,7.404926,7.474925,6.255762579999996,7.13023879601502,6.446290430000006,6892376,7738759.4,67.7523320353678,0.890630609345472,0.15322574966490066,7.41326,0.06833199999999984,0.9217537223839424,-0.08911204994873016,0.34528747357513684,1.3842001932227264
772,971,2012-09-13 13:30:00,7.480759,7.894922,7.447425999999999,7.833255,6.272962409999995,7.197192720204066,6.4589819700000035,15951636,8223003.2,75.13289816074496,1.9398795807351747,0.2267933122486755,7.474925,0.005834000000000117,0.07804760582882259,4.7120352359967805,5.5363767232709975,6.0087337557969835
773,972,2012-09-14 13:30:00,7.8699210000000015,8.069086,7.853256,7.9324210000000015,6.2904955699999965,7.267214461137012,6.471956840000005,17302108,8637153.8,76.72080024434605,2.0032186991969505,0.2290527341865067,7.833255,0.03666600000000031,0.4680812765574504,0.7941629909626791,2.5307115535212983,2.7482868252352963
776,975,2012-09-19 13:30:00,7.854088000000001,7.9144869999999985,7.792421000000001,7.844088,6.333470144999995,7.416187012950952,6.496423270000005,6080316,8448156.8,71.7978613930631,0.7197210165417384,0.16386643473493245,7.828255,0.02583300000000044,0.329996915021297,-0.12732223015582042,0.769013537918058,1.5664708054146146
778,977,2012-09-21 13:30:00,7.955754,7.960754,7.823255,7.825755,6.3604990349999975,7.491418430102708,6.511581440000002,8557848,8355091.2,70.71720978133008,1.024267455033884,0.16089286953839946,7.836587,0.11916700000000002,1.5206492316106492,-1.6340248831223259,0.06284759433235232,1.757567662053711
780,979,2012-09-25 13:30:00,7.842422,7.884921,7.539225,7.561592,6.387248769999998,7.5241820845058465,6.525081300000004,10604984,8527413.6,56.26412640409711,1.2436342949285348,0.20483223911534987,7.794089,0.0483330000000004,0.6201237886814019,-3.580909061001817,0.5419116696347159,4.585298886821924
