time,open,high,low,close,Plot,Plot,52 Week High,52 Week Low,VWAP,200 MA,100 MA,20 EMA,Volume,Volume MA,RSI
1505395800,249.8,250.32,249.6,250.09,NaN,NaN,NaN,NaN,250.0033333,237.2343,243.5943,247.2400776,95446349,71645052.95,65.43351932
1505482200,248.69,249.29,248.57,249.19,NaN,NaN,NaN,NaN,249.0166667,237.3757,243.7007,247.4257845,95432382,69992152.25,60.29560597
1505741400,249.61,250.12,249.28,249.72,NaN,NaN,NaN,NaN,249.7066667,237.5224,243.8139,247.6442812,46235238,65466514.85,62.17898496
1505827800,250,250.07,249.6,249.97,NaN,NaN,NaN,NaN,249.88,237.6744,243.9276,247.8657782,47108148,64548435.45,63.06888332
1505914200,250.07,250.19,248.92,250.06,NaN,NaN,NaN,NaN,249.7233333,237.8263,244.0474,248.0747517,59574083,64370134.55,63.40272699
1506000600,249.88,249.98,249.185,249.39,NaN,NaN,NaN,NaN,249.5183333,237.96825,244.1545,248.2000134,48211398,64270512.6,59.11832882
1506087000,249.05,249.63,249.02,249.44,NaN,NaN,NaN,NaN,249.3633333,238.10695,244.2612,248.3181074,51214032,64294130.65,59.33914873
1506346200,249.15,249.5532,248.08,248.93,NaN,NaN,NaN,NaN,248.8544,238.2286,244.3657,248.3763829,57064357,63925052.9,56.01558992
1506432600,249.42,249.7,248.805,249.08,NaN,NaN,NaN,NaN,249.195,238.34825,244.4689,248.443394,54081959,64600870.55,56.78229705
1506519000,249.88,250.49,248.87,250.05,NaN,NaN,NaN,NaN,249.8033333,238.46595,244.5724,248.5964041,81001426,66094156.1,61.46072005
1506605400,249.73,250.44,249.63,250.35,NaN,NaN,NaN,NaN,250.14,238.58645,244.6793,248.7634133,44778841,65231557.9,62.80191704
1506691800,250.34,251.32,250.13,251.23,NaN,NaN,NaN,NaN,250.8933333,238.7038,244.7972,248.9983263,85578002,64320264,66.48624409
1506951000,251.49,252.32,251.2926,252.32,NaN,NaN,NaN,NaN,251.9775333,238.836,244.9217,249.3146762,59022985,64171063.8,70.39732725
1507037400,252.46,252.89,252.23,252.86,NaN,NaN,NaN,NaN,252.66,238.96625,245.0565,249.6523261,66810169,62941633.4,72.13242923
1507123800,252.69,253.44,252.56,253.16,NaN,NaN,NaN,NaN,253.0533333,239.10685,245.1983,249.9863902,55953619,62843471,73.07656978
1507210200,253.54,254.68,253.196,254.66,NaN,NaN,NaN,NaN,254.1786667,239.2525,245.3419,250.4314959,63522757,63117872.35,77.23039098
1507296600,254.15,254.7008,253.85,254.37,NaN,NaN,NaN,NaN,254.3069333,239.39235,245.4848,250.8065916,80645998,63958531,74.82677084
1507555800,254.63,254.7,253.65,253.95,NaN,NaN,NaN,NaN,254.1,239.53325,245.6661,251.1059638,35803138,62180445.5,71.36271458
1507642200,254.6,255.05,253.98,254.62,NaN,NaN,NaN,NaN,254.55,239.67945,245.8446,251.4406339,43057363,61488512.3,73.47248274
